28/01/2022,28012022,USD,4.537827,4.5492
27/01/2022,27012022,USD,4.564161,4.5756
26/01/2022,26012022,USD,4.57224075,4.5837
25/01/2022,25012022,USD,4.57962225,4.5911
24/01/2022,24012022,USD,4.57653,4.588
21/01/2022,21012022,USD,4.5954825,4.607
20/01/2022,20012022,USD,4.60396125,4.6155
19/01/2022,19012022,USD,4.62490875,4.6365
18/01/2022,18012022,USD,4.6178265,4.6294
14/01/2022,14012022,USD,4.620021,4.6316
13/01/2022,13012022,USD,4.62431025,4.6359
12/01/2022,12012022,USD,4.626405,4.638
11/01/2022,11012022,USD,4.63268925,4.6443
07/01/2022,07012022,USD,4.62490875,4.6365
06/01/2022,06012022,USD,4.61054475,4.6221
05/01/2022,05012022,USD,4.58859975,4.6001
04/01/2022,04012022,USD,4.59239025,4.6039
03/01/2022,03012022,USD,4.57623075,4.5877
31/03/2023,31032023,USD,24.464286,24.5256
30/03/2023,30032023,USD,24.435558,24.4968
29/03/2023,29032023,USD,24.4261815,24.4874
28/03/2023,28032023,USD,24.35406225,24.4151
27/03/2023,27032023,USD,24.33072075,24.3917
24/03/2023,24032023,USD,24.340596,24.4016
23/03/2023,23032023,USD,24.24852675,24.3093
22/03/2023,22032023,USD,24.14339025,24.2039
21/03/2023,21032023,USD,24.18089625,24.2415
20/03/2023,20032023,USD,24.15915075,24.2197
17/03/2023,17032023,USD,24.1428915,24.2034
16/03/2023,16032023,USD,24.0654855,24.1258
15/03/2023,15032023,USD,24.00753075,24.0677
14/03/2023,14032023,USD,23.94029925,24.0003
13/03/2023,13032023,USD,24.0579045,24.1182
10/03/2023,10032023,USD,24.08553525,24.1459
09/03/2023,09032023,USD,24.0746625,24.135
08/03/2023,08032023,USD,24.1089765,24.1694
07/03/2023,07032023,USD,24.09531075,24.1557
06/03/2023,06032023,USD,24.213315,24.274
03/03/2023,03032023,USD,24.256008,24.3168
02/03/2023,02032023,USD,24.2961075,24.357
01/03/2023,01032023,USD,24.29620725,24.3571
28/02/2023,28022023,USD,24.29999775,24.3609
27/02/2023,27022023,USD,24.30259125,24.3635
24/02/2023,24022023,USD,24.35525925,24.4163
23/02/2023,23022023,USD,24.309873,24.3708
22/02/2023,22022023,USD,24.3304215,24.3914
17/02/2023,17022023,USD,24.3403965,24.4014
16/02/2023,16022023,USD,24.3264315,24.3874
15/02/2023,15022023,USD,24.304287,24.3652
14/02/2023,14022023,USD,24.28224225,24.3431
13/02/2023,13022023,USD,24.19246725,24.2531
10/02/2023,10022023,USD,24.1395,24.2
09/02/2023,09022023,USD,24.13800375,24.1985
08/02/2023,08022023,USD,23.74997625,23.8095
07/02/2023,07022023,USD,23.55366825,23.6127
06/02/2023,06022023,USD,23.09082825,23.1487
03/02/2023,03022023,USD,22.8489345,22.9062
02/02/2023,02022023,USD,22.624098,22.6808
01/02/2023,01022023,USD,22.38200475,22.4381
31/01/2023,31012023,USD,22.31776575,22.3737
30/01/2023,30012023,USD,21.896322,21.9512
27/01/2023,27012023,USD,21.91397775,21.9689
26/01/2023,26012023,USD,21.67278225,21.7271
25/01/2023,25012023,USD,21.26560275,21.3189
24/01/2023,24012023,USD,21.121464,21.1744
23/01/2023,23012023,USD,20.682165,20.734
20/01/2023,20012023,USD,20.475882,20.5272
19/01/2023,19012023,USD,20.244063,20.2948
18/01/2023,18012023,USD,19.93453875,19.9845
17/01/2023,17012023,USD,19.92256875,19.9725
16/01/2023,16012023,USD,19.6146405,19.6638
13/01/2023,13012023,USD,19.40337,19.452
12/01/2023,12012023,USD,19.230204,19.2784
11/01/2023,11012023,USD,19.00546725,19.0531
10/01/2023,10012023,USD,18.762177,18.8092
06/01/2023,06012023,USD,18.5672655,18.6138
05/01/2023,05012023,USD,18.3486135,18.3946
04/01/2023,04012023,USD,17.8993395,17.9442
03/01/2023,03012023,USD,17.81963925,17.8643
02/01/2023,02012023,USD,17.51520225,17.5591
30/06/2020,30062020,USD,203906.647371,204417.6916
26/06/2020,26062020,USD,201825.68132475,202331.5101
25/06/2020,25062020,USD,201651.6244575,202157.017
23/06/2020,23062020,USD,201456.49520325,201961.3987
22/06/2020,22062020,USD,201234.22666725,201738.5731
19/06/2020,19062020,USD,202331.793972,202838.8912
18/06/2020,18062020,USD,202375.98571575,202883.1937
17/06/2020,17062020,USD,202949.21405325,203457.8587
16/06/2020,16062020,USD,203130.544491,203639.6436
15/06/2020,15062020,USD,202996.44368325,203505.2067
12/06/2020,12062020,USD,202749.36552675,203257.5093
11/06/2020,11062020,USD,201959.386923,202465.5508
10/06/2020,10062020,USD,200663.38674375,201166.3025
09/06/2020,09062020,USD,197398.972533,197893.7068
08/06/2020,08062020,USD,197689.640043,198185.1028
05/06/2020,05062020,USD,198533.35596675,199030.9333
04/06/2020,04062020,USD,198155.0757375,198651.705
03/06/2020,03062020,USD,197021.22257475,197515.0101
02/06/2020,02062020,USD,196696.067001,197189.0396
01/06/2020,01062020,USD,197300.2553445,197794.7422
29/05/2020,29052020,USD,197615.31422325,198110.5907
28/05/2020,28052020,USD,196721.91731325001,197214.9547
27/05/2020,27052020,USD,195559.6322085,196049.7566
26/05/2020,26052020,USD,192980.66319,193464.324
22/05/2020,22052020,USD,192921.07682925,193404.5883
21/05/2020,21052020,USD,187659.5826315,188129.9074
20/05/2020,20052020,USD,183074.99951475,183533.8341
19/05/2020,19052020,USD,182377.1390385,182834.2246
18/05/2020,18052020,USD,182879.257197,183337.6012
15/05/2020,15052020,USD,182590.678053,183048.2988
14/05/2020,14052020,USD,181221.6869085,181675.8766
13/05/2020,13052020,USD,178593.74054025,179041.3439
12/05/2020,12052020,USD,178086.110097,178532.4412
11/05/2020,11052020,USD,178656.81386175,179104.5753
08/05/2020,08052020,USD,178571.711451,179019.2596
07/05/2020,07052020,USD,172520.44363575,172952.8257
06/05/2020,06052020,USD,168940.4776815,169363.8874
05/05/2020,05052020,USD,171444.860034,171874.5464
04/05/2020,04052020,USD,174975.546396,175414.0816
30/04/2020,30042020,USD,176096.69519925,176538.0403
29/04/2020,29042020,USD,176121.66422025,176563.0719
28/04/2020,28042020,USD,175220.6929935,175659.8426
27/04/2020,27042020,USD,169916.82160425,170342.6783
24/04/2020,24042020,USD,170645.167875,171072.85
23/04/2020,23042020,USD,171146.5702275,171575.509
22/04/2020,22042020,USD,144594.79712475,144957.1901
21/04/2020,21042020,USD,128770.335729,129093.0684
20/04/2020,20042020,USD,127724.1698985,128044.2806
17/04/2020,17042020,USD,125260.097718,125574.0328
16/04/2020,16042020,USD,125660.151477,125975.0892
15/04/2020,15042020,USD,120558.25827675,120860.4093
14/04/2020,14042020,USD,113549.384277,113833.9692
13/04/2020,13042020,USD,105641.9274645,105906.6942
08/04/2020,08042020,USD,100727.679276,100980.1296
07/04/2020,07042020,USD,96390.851319,96632.4324
06/04/2020,06042020,USD,91602.48094725,91832.0611
03/04/2020,03042020,USD,86441.23420275,86657.8789
02/04/2020,02042020,USD,84481.58779725,84693.3211
01/04/2020,01042020,USD,83167.2797025,83375.719
30/06/2021,30062021,USD,3212546.857317,3220598.3532
29/06/2021,29062021,USD,3196069.31810775,3204079.5169
25/06/2021,25062021,USD,3188910.75496875,3196903.0125
23/06/2021,23062021,USD,3175454.97592575,3183413.5097
22/06/2021,22062021,USD,3170570.7859035,3178517.0786
21/06/2021,21062021,USD,3139428.8833845,3147297.1262
18/06/2021,18062021,USD,3130752.312576,3138598.8096
17/06/2021,17062021,USD,3106022.65716225,3113807.1751
16/06/2021,16062021,USD,3097272.00023325,3105034.5867
15/06/2021,15062021,USD,3105259.97245275,3113042.5789
11/06/2021,11062021,USD,3112623.35087025,3120424.4119
10/06/2021,10062021,USD,3125807.7830805,3133641.8878
09/06/2021,09062021,USD,3115611.6433155,3123420.1938
08/06/2021,08062021,USD,3119881.35677925,3127700.6083
07/06/2021,07062021,USD,3103263.44368425,3111041.0463
04/06/2021,04062021,USD,3106132.556625,3113917.35
03/06/2021,03062021,USD,3093441.0239775,3101194.009
02/06/2021,02062021,USD,3089583.436716,3097326.7536
01/06/2021,01062021,USD,3107405.42677425,3115193.4103
31/05/2021,31052021,USD,3107977.110483,3115766.5268
28/05/2021,28052021,USD,3093112.0768065,3100864.2374
27/05/2021,27052021,USD,3059039.2643265,3066706.0294
26/05/2021,26052021,USD,3062607.12641625,3070282.8335
25/05/2021,25052021,USD,3047911.1212095,3055549.9962
21/05/2021,21052021,USD,3037517.084826,3045129.9096
20/05/2021,20052021,USD,3042400.773804,3050025.8384
19/05/2021,19052021,USD,3019361.942037,3026929.2652
18/05/2021,18052021,USD,2947457.249898,2954844.3608
17/05/2021,17052021,USD,2924619.53049,2931949.404
14/05/2021,14052021,USD,2959262.2584105,2966678.9558
13/05/2021,13052021,USD,2902569.75239175,2909844.3633
12/05/2021,12052021,USD,2827947.47743725,2835035.0651
11/05/2021,11052021,USD,2817817.6298265,2824879.8294
10/05/2021,10052021,USD,2829478.2133065,2836569.6374
07/05/2021,07052021,USD,2840490.40971675,2847609.4333
06/05/2021,06052021,USD,2854833.45323925,2861988.4243
05/05/2021,05052021,USD,2859158.70760275,2866324.5189
04/05/2021,04052021,USD,2833357.965018,2840459.1128
03/05/2021,03052021,USD,2789876.633586,2796868.8056
30/04/2021,30042021,USD,2815817.2959945,2822874.4822
29/04/2021,29042021,USD,2739286.431672,2746151.8112
28/04/2021,28042021,USD,2717905.72709775,2724717.5209
